name,path,split
gpt-4-turbo-2024-04-09 [kor],../1_run/output/gpt-4-turbo-2024-04-09 [f1_p1_q1].json,@
gpt-4-turbo-2024-04-09 [eng],../1_run/output/gpt-4-turbo-2024-04-09 [f1_p1_q2].json,@
gpt-4o-2024-05-13 [kor],../1_run/output/gpt-4o-2024-05-13 [f1_p1_q1].json,@
gpt-4o-2024-05-13 [eng],../1_run/output/gpt-4o-2024-05-13 [f1_p1_q2].json,@
Llama-2-70b-chat-hf [kor],../1_run/output/Llama-2-70b-chat-hf [f1_p1_q1].json,@
Llama-2-70b-chat-hf [eng],../1_run/output/Llama-2-70b-chat-hf [f1_p1_q2].json,@
Llama-2-7b-chat-hf [kor],../1_run/output/Llama-2-7b-chat-hf [f1_p1_q1].json,@
Llama-2-7b-chat-hf [eng],../1_run/output/Llama-2-7b-chat-hf [f1_p1_q2].json,@
Meta-Llama-3-70B-Instruct [kor],../1_run/output/Meta-Llama-3-70B-Instruct [f1_p1_q1].json,@
Meta-Llama-3-70B-Instruct [eng],../1_run/output/Meta-Llama-3-70B-Instruct [f1_p1_q2].json,@
Meta-Llama-3-8B-Instruct [kor],../1_run/output/Meta-Llama-3-8B-Instruct [f1_p1_q1].json,@
Meta-Llama-3-8B-Instruct [eng],../1_run/output/Meta-Llama-3-8B-Instruct [f1_p1_q2].json,@
Mistral-7B-Instruct-v0.1 [kor],../1_run/output/Mistral-7B-Instruct-v0.1 [f1_p1_q1].json,@
Mistral-7B-Instruct-v0.1 [eng],../1_run/output/Mistral-7B-Instruct-v0.1 [f1_p1_q2].json,@
Mistral-7B-Instruct-v0.2 [kor],../1_run/output/Mistral-7B-Instruct-v0.2 [f1_p1_q1].json,@
Mistral-7B-Instruct-v0.2 [eng],../1_run/output/Mistral-7B-Instruct-v0.2 [f1_p1_q2].json,@
Mistral-7B-Instruct-v0.3 [kor],../1_run/output/Mistral-7B-Instruct-v0.3 [f1_p1_q1].json,@
Mistral-7B-Instruct-v0.3 [eng],../1_run/output/Mistral-7B-Instruct-v0.3 [f1_p1_q2].json,@
MoMo-72B-lora-1.8.7-DPO [kor],../1_run/output/MoMo-72B-lora-1.8.7-DPO [f1_p1_q1].json,@
MoMo-72B-lora-1.8.7-DPO [eng],../1_run/output/MoMo-72B-lora-1.8.7-DPO [f1_p1_q2].json,@
Phi-3-medium-4k-instruct [kor],../1_run/output/Phi-3-medium-4k-instruct [f1_p1_q1].json,@
Phi-3-medium-4k-instruct [eng],../1_run/output/Phi-3-medium-4k-instruct [f1_p1_q2].json,@
Phi-3-mini-4k-instruct [kor],../1_run/output/Phi-3-mini-4k-instruct [f1_p1_q1].json,@
Phi-3-mini-4k-instruct [eng],../1_run/output/Phi-3-mini-4k-instruct [f1_p1_q2].json,@
Phi-3-small-8k-instruct [kor],../1_run/output/Phi-3-small-8k-instruct [f1_p1_q1].json,@
Phi-3-small-8k-instruct [eng],../1_run/output/Phi-3-small-8k-instruct [f1_p1_q2].json,@
Qwen-72B-Chat [kor],../1_run/output/Qwen-72B-Chat [f1_p1_q1].json,@
Qwen-72B-Chat [eng],../1_run/output/Qwen-72B-Chat [f1_p1_q2].json,@
Qwen2-72B-Instruct [kor],../1_run/output/Qwen2-72B-Instruct [f1_p1_q1].json,@
Qwen2-72B-Instruct [eng],../1_run/output/Qwen2-72B-Instruct [f1_p1_q2].json,@
Qwen2-7B-Instruct [kor],../1_run/output/Qwen2-7B-Instruct [f1_p1_q1].json,@
Qwen2-7B-Instruct [eng],../1_run/output/Qwen2-7B-Instruct [f1_p1_q2].json,@
SOLAR-0-70b-16bit [kor],../1_run/output/SOLAR-0-70b-16bit [f1_p1_q1].json,@
SOLAR-0-70b-16bit [eng],../1_run/output/SOLAR-0-70b-16bit [f1_p1_q2].json,@
SOLAR-10.7B-Instruct-v1.0 [kor],../1_run/output/SOLAR-10.7B-Instruct-v1.0 [f1_p1_q1].json,@
SOLAR-10.7B-Instruct-v1.0 [eng],../1_run/output/SOLAR-10.7B-Instruct-v1.0 [f1_p1_q2].json,@
text-unicorn@001 [kor],../1_run/output/text-unicorn@001 [f1_p1_q1].json,@
text-unicorn@001 [eng],../1_run/output/text-unicorn@001 [f1_p1_q2].json,@
Yi-1.5-34B-Chat [kor],../1_run/output/Yi-1.5-34B-Chat [f1_p1_q1].json,@
Yi-1.5-34B-Chat [eng],../1_run/output/Yi-1.5-34B-Chat [f1_p1_q2].json,@
Yi-1.5-9B-Chat [kor],../1_run/output/Yi-1.5-9B-Chat [f1_p1_q1].json,@
Yi-1.5-9B-Chat [eng],../1_run/output/Yi-1.5-9B-Chat [f1_p1_q2].json,@
